,time,location,x,y
12149,20166737,Loc10,527.658,197.955
12169,20200376,Loc10,527.158,198.359
12189,20234259,Loc10,526.7040000000001,198.745
12209,20267161,Loc10,526.085,199.30900000000003
12229,20300112,Loc10,525.69,199.76
12249,20333635,Loc10,525.14,199.96900000000002
12269,20367414,Loc10,524.513,200.165
12289,20400042,Loc10,523.441,200.804
12309,20433381,Loc10,522.669,201.287
12329,20467098,Loc10,521.732,201.93900000000002
12349,20500376,Loc10,520.7819999999999,202.706
12369,20533433,Loc10,520.268,203.058
12389,20567115,Loc10,519.597,203.185
12409,20600599,Loc10,518.811,203.482
12429,20633451,Loc10,518.006,203.85299999999998
12449,20666782,Loc10,517.227,204.322
12469,20700371,Loc10,516.188,204.753
12489,20733810,Loc10,515.403,205.108
12509,20766788,Loc10,514.456,205.543
12529,20800875,Loc10,513.62,205.687
12549,20833766,Loc10,512.755,205.929
12569,20866777,Loc10,511.538,206.21400000000003
12589,20900511,Loc10,510.481,206.274
12609,20934052,Loc10,509.97,206.385
12629,20967006,Loc10,509.29400000000004,206.55200000000002
12649,21000407,Loc10,508.781,206.644
12669,21034069,Loc10,508.499,206.601
12689,21067165,Loc10,507.759,206.764
12709,21100769,Loc10,507.191,206.83
12729,21134145,Loc10,506.921,206.84799999999998
12749,21167052,Loc10,506.577,206.803
12769,21200748,Loc10,506.17900000000003,206.762
